feeding start,feeding finish,sleeping start,sleeping finish,torso monitor detached,torso monitor reattached,ankle monitor detached,ankle monitor reattached,mother monitor detached,mother monitor reattached
2009-04-21 06:15:00,2009-04-21 06:45:00,2009-04-21 00:00:00,2009-04-21 06:15:00,,,,,,
2009-04-21 10:10:00,2009-04-21 10:42:00,2009-04-21 08:10:00,2009-04-21 10:00:00,,,,,,
2009-04-21 13:30:00,2009-04-21 17:04:00,2009-04-21 11:30:00,2009-04-21 11:50:00,,,,,,
2009-04-21 17:10:00,2009-04-21 20:43:00,2009-04-21 12:30:00,2009-04-21 13:15:00,,,,,,
2009-04-21 19:55:00,2009-04-21 23:29:00,2009-04-21 16:40:00,2009-04-21 17:00:00,,,,,,
2009-04-22 06:25:00,2009-04-22 06:54:00,2009-04-21 19:10:00,2009-04-21 19:40:00,,,,,,
2009-04-22 10:00:00,2009-04-22 10:09:00,2009-04-21 20:10:00,2009-04-21 20:25:00,,,,,,
2009-04-22 16:25:00,2009-04-22 16:29:00,2009-04-21 20:45:00,2009-04-22 06:15:00,,,,,,
2009-04-22 18:55:00,2009-04-22 19:03:00,2009-04-22 08:30:00,2009-04-22 09:05:00,,,,,,
,,2009-04-22 12:40:00,2009-04-22 13:20:00,,,,,,
,,2009-04-22 14:15:00,2009-04-22 14:40:00,,,,,,
,,2009-04-22 18:00:00,2009-04-22 18:50:00,,,,,,
,,2009-04-22 21:20:00,2009-04-23 05:30:00,,,,,,
