feeding start,feeding finish,sleeping start,sleeping finish,torso monitor detached,torso monitor reattached,ankle monitor detached,ankle monitor reattached,mother monitor detached,mother monitor reattached
2009-01-14 00:00:00,2009-01-14 00:10:00,2009-01-14 00:35:00,2009-01-14 02:35:00,2009-01-13 14:35:00,2009-01-13 20:30:00,,,2009-01-15 04:00:00,2009-01-15 09:00:00
2009-01-14 02:10:00,2009-01-14 02:15:00,2009-01-14 02:50:00,2009-01-14 04:15:00,,,,,,
2009-01-14 03:55:00,2009-01-14 04:00:00,2009-01-14 04:30:00,2009-01-14 06:25:00,,,,,,
2009-01-14 06:00:00,2009-01-14 06:02:00,2009-01-14 06:35:00,2009-01-14 08:00:00,,,,,,
2009-01-14 07:30:00,2009-01-14 07:35:00,2009-01-14 08:05:00,2009-01-14 08:55:00,,,,,,
2009-01-14 08:20:00,2009-01-14 08:30:00,2009-01-14 10:45:00,2009-01-14 11:25:00,,,,,,
2009-01-14 11:05:00,2009-01-14 11:25:00,2009-01-14 11:50:00,2009-01-14 13:30:00,,,,,,
2009-01-14 13:55:00,2009-01-14 14:00:00,2009-01-14 14:30:00,2009-01-14 16:20:00,,,,,,
2009-01-14 15:55:00,2009-01-14 16:00:00,2009-01-14 16:30:00,2009-01-14 17:45:00,,,,,,
2009-01-14 17:10:00,2009-01-14 17:12:00,2009-01-14 20:05:00,2009-01-14 21:10:00,,,,,,
2009-01-14 19:30:00,2009-01-14 19:40:00,2009-01-14 21:15:00,2009-01-14 21:40:00,,,,,,
2009-01-14 20:35:00,2009-01-14 20:37:00,2009-01-14 22:35:00,2009-01-15 02:05:00,,,,,,
2009-01-14 21:55:00,2009-01-14 22:05:00,2009-01-15 02:10:00,2009-01-15 02:25:00,,,,,,
2009-01-15 01:35:00,2009-01-15 01:40:00,2009-01-15 02:35:00,2009-01-15 04:07:00,,,,,,
2009-01-15 01:50:00,2009-01-15 01:56:00,2009-01-15 04:15:00,2009-01-15 04:40:00,,,,,,
2009-01-15 03:37:00,2009-01-15 03:42:00,2009-01-15 04:50:00,2009-01-15 08:25:00,,,,,,
2009-01-15 04:02:00,2009-01-15 04:07:00 ,2009-01-15 10:35:00,2009-01-15 11:30:00,,,,,,
2009-01-15 08:00:00,2009-01-15 08:10:00,2009-01-15 12:30:00,2009-01-15 15:30:00,,,,,,
2009-01-15 10:00:00,2009-01-15 10:05:00,2009-01-15 19:00:00,2009-01-15 21:00:00,,,,,,
2009-01-15 12:00:00,2009-01-15 12:10:00,2009-01-15 21:10:00,2009-01-16 00:00:00,,,,,,
2009-01-15 15:15:00,2009-01-15 15:30:00,,,,,,,,
2009-01-15 18:00:00,2009-01-15 18:15:00,,,,,,,,
2009-01-15 21:00:00,2009-01-15 21:05:00,,,,,,,,
2009-01-15 22:00:00,2009-01-15 22:05:00,,,,,,,,
2009-01-16 00:00:00,2009-01-16 00:05:00,,,,,,,,
